
# best results with the Net Condition mutation operator:

Network's routers:

#	(x                  , y)

34	(0.462109711088581	, 0.153208110114434)
35	(0.647574828316448	, 0.502892115733582)
36	(0.672755274615491	, 0.752122821669136)
37	(0.232309664012336	, 0.718463589566883)
38	(0.118889415557823	, 0.750573448667516)
39	(0.442572184676285	, 0.329982750990938)
40	(0.634090802067587	, 0.642463135543788)
41	(0.484309895542025	, 0.744373000643720)
42	(0.229546334608002	, 0.463829598281136)
43	(0.604371029145205	, 0.745330781065431)
44	(0.379648355443868	, 0.245372627885193)
45	(0.266645749110311	, 0.106341282466801)
46	(0.538570115602393	, 0.396126779785333)
47	(0.176515203662360	, 0.0674436142130575)
48	(0.309752992842074	, 0.190760096796946)
49	(0.434983695282244	, 0.349251244265194)
50	(0.627035684056784	, 0.260655537793546)
51	(0.849950861268830	, 0.156564297333658)
52	(0.791378904401051	, 0.577208896106495)
53	(0.553826392649626	, 0.546587475168216)
54	(0.842638725131625	, 0.051780138062141)
55	(0.426410915849737	, 0.548094142602388)
56	(0.235589908698754	, 0.542406885633970)
57	(0.485122094364808	, 0.543263807025194)
58	(0.139395756146931	, 0.834557430759321)
59	(0.483228625528949	, 0.243125252779180)
60	(0.350393757702364	, 0.398664923724918)
61	(0.364691431239078	, 0.443672651272646)
62	(0.742072213519598	, 0.257764546145161)
63	(0.488414043607880	, 0.663806314940265)
64	(0.415750836244482	, 0.774711930818038)
65	(0.725636402077881	, 0.632072519257410)
66	(0.276922604115181	, 0.408057437615272)
67	(0.708936533961893	, 0.188979527881814)
68	(0.658240601464392	, 0.166911193971061)
69	(0.756843016311828	, 0.747594590256050)
70	(0.550307120527405	, 0.492811733211751)
71	(0.281258914738842	, 0.452582316110312)
72	(0.703036946898349	, 0.125830533742586)
73	(0.240612568649990	, 0.289970072569418)
74	(0.125115616330909	, 0.651278046509509)
75	(0.348579613690631	, 0.667476370056523)
76	(0.674184148979526	, 0.365582627307629)
77	(0.361450554391197	, 0.350520341342745)
78	(0.347959016880807	, 0.633545994046925)
79	(0.251564786414817	, 0.337905538022441)
80	(0.554550490421610	, 0.339566421748573)
81	(0.184066584353058	, 0.747045038490419)
82	(0.337710932196679	, 0.535177816635882)
83	(0.417409630403065	, 0.853549557678709)
84	(0.156109171764495	, 0.433836539734603)
85	(0.437682240866056	, 0.493921983757022)
86	(0.428514817237478	, 0.451360361740240)
87	(0.679571362359335	, 0.614869004498062)
88	(0.845547426681346	, 0.720288950689744)
89	(0.298294466093118	, 0.363215837912870)
90	(0.237441340857952	, 0.666438524310828)
91	(0.0846625970714591 , 0.810844623559457)
92	(0.582749158479865	, 0.454943883824057)
93	(0.446555449646173	, 0.269205164379705)
94	(0.704610004745999	, 0.844791375247905)
95	(0.727458982811649	, 0.559506037845933)
96	(0.640105234959473	, 0.427064878167896)
97	(0.627007970679152	, 0.209128414552777)
98	(0.653686368566556	, 0.566996487810489)
99	(0.855167885239786	, 0.562572246634981)
100	(0.650265090639094	, 0.317165762683414)
101	(0.168479775144201	, 0.157524333929158)
102	(0.271290383985193	, 0.648129556249682)
103	(0.784098261933849	, 0.121221621656833)
104	(0.671023595214439	, 0.248447965136057)
105	(0.430430566841143	, 0.718454600743837)
106	(0.342357106622178	, 0.581874372557609)
107	(0.503272419719228	, 0.449829224085232)
108	(0.571704006405561	, 0.246593873510310)
109	(0.581673975747423	, 0.315881509680589)
110	(0.465233322340373	, 0.402858040274255)
111	(0.165586122270001	, 0.590830255665849)
112	(0.338210966180265	, 0.490720438304936)
113	(0.828107096892563	, 0.869801936645004)
114	(0.769781122195743	, 0.666623681239344)
115	(0.613301650398773	, 0.554597055329322)
116	(0.501170734429165	, 0.346935516070740)
117	(0.211932766081889	, 0.250976414262496)
118	(0.391663626086115	, 0.298387509452951)
119	(0.579226798736518	, 0.653053310860273)
120	(0.754618078592262	, 0.814578809032997)
121	(0.875887224403762	, 0.859268631150924)


# best results with the Clone Hyper mutation operator:

Network's routers:

#	(x                 , y)

34	(0.517217915262815 , 0.549108185648066)
35	(0.448281684140164 , 0.376887832716835)
36	(0.450422475894827 , 0.422022513088049)
37	(0.712138348019468 , 0.790256573181740)
38	(0.403856706901477 , 0.443786892350762)
39	(0.243246662013490 , 0.208920493587586)
40	(0.207192433727174 , 0.742905616136701)
41	(0.264532573231827 , 0.360335026917322)
42	(0.387931663689957 , 0.566799091221431)
43	(0.626762764764818 , 0.646621598880542)
44	(0.717081536276096 , 0.653570504833380)
45	(0.853512204440482 , 0.533066385813532)
46	(0.548066283881236 , 0.635622599886088)
47	(0.721444225943624 , 0.332646672007000)
48	(0.819331952222216 , 0.749423403404343)
49	(0.461890235411872 , 0.178232322444247)
50	(0.805605957527324 , 0.883800824750733)
51	(0.429435532822583 , 0.843390046075057)
52	(0.301994739549341 , 0.572027411003148)
53	(0.187461378721328 , 0.104540048013642)
54	(0.253988909985239 , 0.772373726664331)
55	(0.802934464343606 , 0.294890986814910)
56	(0.511164883841204 , 0.341903608831838)
57	(0.556818690845895 , 0.720092640653085)
58	(0.447632606991584 , 0.479746801952345)
59	(0.706925047934170 , 0.377828898170578)
60	(0.489040848463432 , 0.438515689808065)
61	(0.565951960762274 , 0.414807397947258)
62	(0.233121847946763 , 0.560250021742037)
63	(0.829649872156926 , 0.107248480276655)
64	(0.766935294344858 , 0.502757779369714)
65	(0.219816113292964 , 0.282882349251700)
66	(0.472387512962518 , 0.274947144167473)
67	(0.451059137433611 , 0.338694721785492)
68	(0.662919360562518 , 0.399048154629571)
69	(0.353758385708827 , 0.478707245396840)
70	(0.361216689481052 , 0.351417837756286)
71	(0.729426973865176 , 0.435699976837005)
72	(0.532587854497203 , 0.468999178781745)
73	(0.640672490874671 , 0.529067508419068)
74	(0.464321378147439 , 0.768300088830494)
75	(0.466782945535428 , 0.691920206372582)
76	(0.889813788985022 , 0.268505076951205)
77	(0.252348882550317 , 0.156538227614145)
78	(0.477865812199026 , 0.244617017949983)
79	(0.251264481720987 , 0.685491336443526)
80	(0.880888079193433 , 0.193971483330775)
81	(0.780500578518308 , 0.250829932885235)
82	(0.522216664454957 , 0.585353229598694)
83	(0.553753377301744 , 0.487777041669986)
84	(0.101909753981399 , 0.803056465730690)
85	(0.146988549034413 , 0.535348370227974)
86	(0.343658590559123 , 0.677613512241265)
87	(0.569990475063223 , 0.350114720477648)
88	(0.889878139352636 , 0.815871572803206)
